adj	nn	attribute	semclass	status	context
bitter	Abend	emotion	time	collocation	Während die Kritiker in Leipzig meinten , dass Nagiller dem Publikum einen bitteren Abend bereitet habe , wurden seine Vorstellungen in Köln und Berlin mit viel Beifall aufgenommen .
mild	Abend	temperature	time	collocation	Stattdessen geht er dann mit Bärbele durch den milden Abend auf den Tanzboden .
spät	Abend	time	time	free	Leo vergisst zudem seinen Hochzeitstag , als er am späten Abend zuhause von seiner Frau empfangen wird .
spät	Abendstunde	time	time	free	Der Bolide vom 21. September 2012 war ein unerwartetes , spektakuläres Himmelsereignis , das in den späten Abendstunden zahlreiche Menschen in Mittel- und Nordeuropa erschreckte und faszinierte .
wild	Abenteuer	description	event	collocation	Gelegentlich dieser vollkommen unkriminalistischen Berufstätigkeit stolpern die beiden Helden von einem wilden Abenteuer ins nächste , die vom Autor süffig geschildert werden .
steil	Abfahrt	dimension	event	free	Der längere führte zum  Ochsenboden  , von wo eine sehr steile Abfahrt durch die  Schluichten  , eine Wiesenmulde möglich war .
steil	Abfall	intensity	event	collocation	Man erkennt die typische Form mit einem deutlich ausgeprägten Strahlungsmaximum , einem steilen Abfall zu kurzen Wellenlängen hin und einem länger auslaufenden Abfall zu großen Wellenlängen hin .
bitter	Abgang	taste	event	collocation	Zur Herkunft des Namens bestehen zwei Haupttheorien : Er könnte auf den leicht bitteren Abgang des Weines hindeuten ( kroat .
scharf	Abgrenzung	shape	event	collocation	In der Regel bleicht nach der Blüte der Stängel befallener Pflanzen ohne scharfe Abgrenzung zum gesunden Gewebe aus .
starr	Abgrenzung	rigidity	event	collocation	Eine starre Abgrenzung des PNS vom ZNS ist aus funktioneller Sicht allerdings nicht sinnvoll .
steil	Abgrund	dimension	location	free	In der ersten Hälfte des 15. Jahrhunderts soll dort an dem steilen Abgrund die Burg Vlčinec errichtet worden sein .
tief	Abgrund	dimension	location	free	Sie kann etwa zerquetscht oder gefressen werden , oder sie fällt einen tiefen Abgrund hinab .
steil	Abhang	dimension	location	free	Die gebankten Dolomite der Rosengarten-Formation und Rosszähne-Formation entstanden zu einem großen Teil an etwa 30 Grad steilen Abhängen einer Karbonatplattform , im zentralen Plattformbereich auch als flachliegende Sedimente .
stark	Abhängigkeit	intensity	relation	collocation	Kondensstreifen von Raketen zeigen wegen des meist senkrechten Flugverlaufs und der Wirkung des Windes eine starke Abhängigkeit von Windrichtung und Windstärke .
frischgebacken	Abiturient	time	person	collocation	Wolfgangs Sohn Karsten ist frischgebackener Abiturient , verdient sich nebenbei etwas Geld durch das Schreiben von Horoskopen und plant mit zwei Freundinnen eine Sprachreise nach Spanien .
leicht	Abkühlung	intensity	event	collocation	Die ersten beiden Dekaden des 20. Jahrhunderts zeigten hingegen wieder eine leichte Abkühlung , wenn auch schon auf höherem Niveau .
scharf	Ablehnung	intensity	communication	collocation	Mit seiner scharfen Ablehnung der konventionellen Krankheitsmodelle profilierte er sich als kategorischer Kritiker der traditionellen Psychiatrie .
starr	Ablehnung	rigidity	communication	collocation	Nach der Thronbesteigung Elisabeth I. Tudor ließ ihn jedoch seine starre Ablehnung ihrer religiöser Neuerungen bei der Königin in Ungnade fallen .
tief	Abneigung	intensity	feeling	collocation	Er äußerte seine tiefe Abneigung gegen aus seiner Sicht verkommene , die Jugend gefährdende Sitten .
bitter	Abrechnung	emotion	event	collocation	Seine im folgenden Jahr publizierten " Untersuchungen über Thierstaaten " verknüpften die Zoologie mit einer bitteren Abrechnung mit den deutschen Verhältnissen .
grob	Abschätzung	precision	cognition	collocation	Breite und Ausdehnung dieser Farbwolke erlauben bereits eine grobe Abschätzung des Schweregrades der Insuffizienz .
steil	Abschnitt	dimension	quantity	free	Es empfiehlt sich , die Route so zu befahren , dass der steile Abschnitt Wengern-Silschede abwärts befahren wird - also entgegen dem Uhrzeigersinn .
leicht	Abschwächung	intensity	event	collocation	Bis zum Ende des 21. Jahrhunderts wird nach Simulationen mit Klimamodellen eine leichte Abschwächung des Nordatlantikstroms erwartet .
