attribute_original	adjective	noun	GerCoAT	status
AGE	little	boy	age	collocation
ACCURACY	accurate	accounting	precision	free
ACCURACY	accurate	measurement	precision	free
ACCURACY	accurate	reproduction	precision	free
ACCURACY	accurate	scale	precision	free
ACCURACY	inaccurate	thermometer	precision	free
ACCURACY	inaccurate	translation	precision	free
ACCURACY	incorrect	transcription	precision	free
COMPLETENESS	sketchy	account	precision	free
AGE	new	car	age	collocation
AGE	new	comet	age	collocation
PERFECTION	clear	complexion	appearance	collocation
AGE	brand-new	shoe	age	free
AGE	mature	cell	age	free
MATURITY	mature	cell	age	free
AGE	young	people	age	free
COMPLEXION	dusky	cheek	appearance	collocation
HEIGHT	high	forehead	appearance	collocation
SOLIDITY	hollow	cheek	appearance	collocation
ATTRACTIVENESS	homely	child	appearance	collocation
ATTRACTIVENESS	plain	girl	appearance	collocation
LUMINOSITY	dull	glow	brightness	collocation
BEAUTY	beautiful	child	appearance	free
COMPLEXION	blond	Scandinavian	appearance	free
BEAUTY	grotesque	serpent	appearance	free
COMPLEXION	light-haired	child	appearance	free
COMPLEXION	swarthy	face	appearance	free
BEAUTY	ugly	face	appearance	free
COLOR	wan	face	appearance	free
INTENTIONALITY	conscious	effort	cause	free
INTENTIONALITY	conscious	policy	cause	free
INTENTIONALITY	intended	insult	cause	free
INTENTIONALITY	intended	trip	cause	free
INTENTIONALITY	intentional	damage	cause	free
NATURALNESS	unnatural	death	cause	free
LUMINOSITY	dull	silver	brightness	collocation
LUMINOSITY	dull	sky	brightness	collocation
OBVIOUSNESS	axiomatic	truth	certainty	collocation
CLARITY	clear	case	certainty	collocation
CLARITY	clear	explanation	certainty	collocation
CLARITY	clear	idea	certainty	collocation
CLARITY	clear	indication	certainty	collocation
CLARITY	clear-cut	evidence	certainty	collocation
CLARITY	confusing	signal	certainty	collocation
FINALITY	determinate	answer	certainty	collocation
OBVIOUSNESS	marked	limp	certainty	collocation
DISTANCE	near	hit	certainty	collocation
EXPLICITNESS	silent	consent	certainty	collocation
CLARITY	trenchant	distinction	certainty	collocation
CLARITY	unclear	action	certainty	collocation
FINALITY	conclusive	evidence	certainty	free
FINALITY	conclusive	proof	certainty	free
CREDIBILITY	credible	information	certainty	free
CREDIBILITY	credible	testimony	certainty	free
FINALITY	definitive	verdict	certainty	free
OBVIOUSNESS	evident	hostility	certainty	free
EXPLICITNESS	explicit	instruction	certainty	free
EXPLICITNESS	implicit	agreement	certainty	free
EXPLICITNESS	implicit	anger	certainty	free
EXPLICITNESS	implicit	criticism	certainty	free
FINALITY	inconclusive	evidence	certainty	free
FINALITY	inconclusive	reply	certainty	free
CERTAINTY	indefinite	plan	certainty	free
OBVIOUSNESS	manifest	disapproval	certainty	free
OBVIOUSNESS	noticeable	lack	certainty	free
OBVIOUSNESS	noticeable	shadow	certainty	free
OBVIOUSNESS	obvious	error	certainty	free
OBVIOUSNESS	pronounced	flavor	certainty	free
EXPLICITNESS	tacit	agreement	certainty	free
CERTAINTY	uncertain	consequence	certainty	free
CERTAINTY	uncertain	future	certainty	free
CERTAINTY	uncertain	origin	certainty	free
CLARITY	unmistakable	slavery	certainty	free
HONESTY	underhand	method	certainty	collocation
CLARITY	vivid	recollection	certainty	collocation
NATURE	amiable	villain	character	collocation
ATTENTION	attentive	nurse	character	collocation
ATTENTION	attentive	suitor	character	collocation
NOBILITY	base	rabble	character	collocation
KINDNESS	benign	ruler	character	collocation
GENEROSITY	big	tipper	character	collocation
BOLDNESS	bold	speech	character	collocation
LIVELINESS	bubbly	child	character	collocation
LIVELINESS	bubbly	personality	character	collocation
COURAGE	courageous	example	character	collocation
DULLNESS	drab	personality	character	collocation
INTRUSIVENESS	invasive	tourist	character	collocation
GENEROSITY	liberal	backer	character	collocation
LIVELINESS	live	bunch	character	collocation
ACQUISITIVENESS	predatory	capitalist	character	collocation
ACQUISITIVENESS	acquisitive	mind	character	free
ACQUISITIVENESS	acquisitive	society	character	free
BOLDNESS	audacious	explorer	character	free
BOLDNESS	bold	settler	character	free
COURAGE	brave	man	character	free
COURTESY	brusque	manner	character	free
HUMANENESS	brutish	man	character	free
CAREFULNESS	careless	housekeeper	character	free
CAREFULNESS	careless	person	character	free
SOCIABILITY	companionable	pet	character	free
CONFIDENCE	confident	reply	character	free
CONFIDENCE	confident	speaker	character	free
CORRUPTNESS	corruptible	judge	character	free
COURTESY	corteous	man	character	free
COWARDICE	cowardly	dog	character	free
COWARDICE	craven	fellow	character	free
COURTESY	curt	reply	character	free
EVIL	diabolical	sorcerer	character	free
CORRUPTNESS	dishonest	politician	character	free
LOYALTY	disloyal	aide	character	free
OBEDIENCE	disobedient	child	character	free
TRACTABILITY	docile	pupil	character	free
OBEDIENCE	dutiful	child	character	free
FIDELITY	faithful	employee	character	free
FIDELITY	faithful	patriot	character	free
FIDELITY	faithful	service	character	free
BOLDNESS	fearless	reporter	character	free
EVIL	fiendish	despot	character	free
FRIENDLINESS	friendly	host	character	free
FRIENDLINESS	friendly	person	character	free
COURAGE	gallant	warrior	character	free
GLUTTONY	gluttonous	husband	character	free
PIETY	godly	man	character	free
NATURE	good-natured	play	character	free
NATURE	good-natured	policeman	character	free
NATURE	gruff	manner	character	free
BOLDNESS	heroic	explorer	character	free
HONORABLENESS	honorable	man	character	free
ATTENTION	inattentive	babysitter	character	free
ATTENTION	inattentive	student	character	free
PERMISSIVENESS	indulgent	parent	character	free
SINCERITY	insincere	woman	character	free
BOLDNESS	intrepid	pioneer	character	free
RESPONSIBILITY	irresponsible	action	character	free
RESPONSIBILITY	irresponsible	idiot	character	free
FIDELITY	loyal	supporter	character	free
LOYALTY	loyal	friend	character	free
LOYALTY	loyal	subject	character	free
NOBILITY	magnanimous	conqueror	character	free
NATURE	nagging	parent	character	free
QUALITY	negative	personality	character	free
OBEDIENCE	obedient	child	character	free
OBEDIENCE	obedient	colony	character	free
OBEDIENCE	obedient	soldier	character	free
OBEDIENCE	obstinate	child	character	free
PERMISSIVENESS	permissive	parent	character	free
NATURE	placid	temperament	character	free
PLAYFULNESS	playful	child	character	free
PRIDE	proud	prince	character	free
BOLDNESS	reckless	driver	character	free
OBEDIENCE	refractory	child	character	free
RESPONSIBILITY	responsible	adult	character	free
RESPONSIBILITY	responsible	captain	character	free
REASONABLENESS	sensible	person	character	free
SERIOUSNESS	serious	student	character	free
NATURE	surly	waiter	character	free
TRACTABILITY	teachable	youngster	character	free
FIDELITY	unfaithful	lover	character	free
SOCIABILITY	unsociable	behavior	character	free
SOCIABILITY	unsociable	nature	character	free
SOCIABILITY	unsociable	neighborhood	character	free
WARINESS	unwary	animal	character	free
WARINESS	unwary	reader	character	free
WARINESS	unwary	traveler	character	free
DISPOSITION	unwilling	assistant	character	free
COURAGE	valiant	soldier	character	free
ANIMATION	vivacious	hostess	character	free
DISPOSITION	willing	helper	character	free
DISPOSITION	willing	participant	character	free
NATURE	spoiled	child	character	collocation
CONFIDENCE	timid	response	character	collocation
TEMPERATURE	sultry	summer	climate	free
TEMPERATURE	tropical	weather	climate	free
WETNESS	wet	weather	climate	free
WETNESS	dry	climate	climate	collocation
COLOR	black	soil	color	free
COLOR	bright	dress	color	free
COLOR	brilliant	tapestry	color	free
COLOR	light-colored	powder	color	free
COLOR	silvery	hair	color	free
COLOR	uncolored	water	color	free
COLOR	vivid	plumage	color	free
COLOR	white	dress	color	free
FERTILITY	rank	earth	climate	collocation
COLOR	bloodless	lip	color	collocation
COMPLETENESS	full	game	completeness	collocation
INTEGRITY	full	attention	completeness	collocation
COMPREHENSIVENESS	all-embracing	definition	completeness	free
COMPLETENESS	complete	accounting	completeness	free
COMPLETENESS	complete	meal	completeness	free
COMPLETENESS	complete	set	completeness	free
COMPLETENESS	complete	wardrobe	completeness	free
COMPREHENSIVENESS	comprehensive	coverage	completeness	free
COMPREHENSIVENESS	comprehensive	education	completeness	free
COMPREHENSIVENESS	comprehensive	history	completeness	free
COMPREHENSIVENESS	comprehensive	survey	completeness	free
COMPLETENESS	exhaustive	study	completeness	free
INTEGRITY	fractional	share	completeness	free
COMPLETENESS	incomplete	account	completeness	free
READINESS	ready	bridge	completeness	free
COMPREHENSIVENESS	universal	experience	completeness	free
INTEGRITY	whole	attention	completeness	free
INTEGRITY	whole	hog	completeness	free
INTEGRITY	whole	loaf	completeness	free
INTEGRITY	whole	wardrobe	completeness	free
INTEGRITY	whole	week	completeness	free
COMPREHENSIVENESS	plenary	session	completeness	collocation
COMPLETENESS	rudimentary	plan	completeness	collocation
PURITY	contaminated	water	composition	free
PURITY	polluted	lake	composition	free
PURITY	pure	air	composition	free
PURITY	pure	gold	composition	free
PURITY	pure	oxygen	composition	free
PURITY	unpolluted	stream	composition	free
PURITY	fresh	air	composition	collocation
COMPLEXITY	simple	substance	composition	collocation
CONSISTENCY	dense	smoke	consistency	collocation
THICKNESS	dense	smoke	consistency	collocation
CONSISTENCY	heavy	fog	consistency	collocation
THICKNESS	heavy	fog	consistency	collocation
CONSISTENCY	thick	cream	consistency	collocation
CONSISTENCY	thick	fog	consistency	collocation
CONSISTENCY	thick	smoke	consistency	collocation
CONSISTENCY	thick	soup	consistency	collocation
THICKNESS	thick	cream	consistency	collocation
THICKNESS	thick	fog	consistency	collocation
THICKNESS	thick	smoke	consistency	collocation
THICKNESS	thick	soup	consistency	collocation
CONSISTENCY	thin	air	consistency	collocation
CONSISTENCY	thin	oil	consistency	collocation
CONSISTENCY	thin	soup	consistency	collocation
THICKNESS	thin	air	consistency	collocation
EVENNESS	lumpy	gravy	consistency	free
THICKNESS	thin	oil	consistency	collocation
THICKNESS	thin	soup	consistency	collocation
STRENGTH	delicate	wing	constitution	free
STATURE	lanky	kid	constitution	free
POWER	mighty	logger	constitution	free
POWER	powerful	arm	constitution	free
WEIGHT	slight	figure	constitution	free
STRENGTH	strong	man	constitution	free
STRENGTH	sturdy	canvas	constitution	free
STRENGTH	weak	pillar	constitution	free
STATURE	little	man	constitution	collocation
CONTINUITY	ceaseless	thunder	continuity	free
CONTINUITY	constant	pain	continuity	free
CONTINUITY	continuous	bout	continuity	free
CONTINUITY	continuous	fear	continuity	free
CONTINUITY	continuous	line	continuity	free
CONTINUITY	continuous	rearrangement	continuity	free
CONTINUITY	continuous	row	continuity	free
CONTINUITY	incessant	noise	continuity	free
CONTINUITY	perpetual	struggle	continuity	free
REGULARITY	regular	call	continuity	free
REGULARITY	regular	duty	continuity	free
REGULARITY	regular	meal	continuity	free
CONTINUITY	unceasing	warfare	continuity	free
CONTINUITY	unremitting	demand	continuity	free
WEIGHT	spare	figure	constitution	collocation
REGULARITY	casual	correspondence	continuity	collocation
SIZE	ample	waistline	dimension	collocation
LENGTH	brief	bikini	dimension	collocation
LENGTH	far	trek	dimension	collocation
SIZE	mammoth	ship	dimension	collocation
DIFFICULTY	challenging	task	effort	free
COMPLEXITY	complex	mass	effort	free
COMPLEXITY	complex	set	effort	free
COMPLEXITY	complicated	problem	effort	free
DIFFICULTY	difficult	cliff	effort	free
DIFFICULTY	difficult	task	effort	free
EASE	easy	answer	effort	free
EASE	easy	job	effort	free
EASE	easy	problem	effort	free
EASE	easy	victory	effort	free
EASE	easy	way	effort	free
EASE	elementary	problem	effort	free
TRACTABILITY	intractable	disposition	effort	free
TRACTABILITY	intractable	issue	effort	free
TRACTABILITY	intractable	metal	effort	free
COMPLEXITY	multiplex	problem	effort	free
COMPLEXITY	simple	problem	effort	free
EASE	simple	game	effort	free
SIZE	mountainous	wave	dimension	collocation
SIZE	super	skyscraper	dimension	collocation
AGE	new	friend	duration	collocation
DURATION	perennial	happiness	duration	collocation
TRACTABILITY	intractable	pain	effort	collocation
COMPLEXITY	knotty	problem	effort	collocation
MODERATION	average	size	dimension	free
SIZE	big	city	dimension	free
WIDTH	broad	river	dimension	free
WIDTH	broad	shoulder	dimension	free
SIZE	deep	cut	dimension	free
POSITION	erect	tail	dimension	free
SIZE	gigantic	redwood	dimension	free
HEIGHT	high	building	dimension	free
HEIGHT	high	ceiling	dimension	free
HEIGHT	high	mountain	dimension	free
DIRECTION_ORIENTATION	horizontal	surface	dimension	free
SIZE	huge	wave	dimension	free
SIZE	immense	snake	dimension	free
DIRECTION_ORIENTATION	inclined	plane	dimension	free
SIZE	jumbo	jet	dimension	free
SIZE	jumbo	shrimp	dimension	free
SIZE	large	area	dimension	free
SIZE	large	city	dimension	free
SIZE	little	house	dimension	free
LENGTH	long	distance	dimension	free
LENGTH	long	road	dimension	free
LENGTH	long	word	dimension	free
HEIGHT	low	bow	dimension	free
HEIGHT	low	ceiling	dimension	free
HEIGHT	low	cloud	dimension	free
HEIGHT	low	furniture	dimension	free
HEIGHT	low	hill	dimension	free
HEIGHT	low	sun	dimension	free
SIZE	massive	sculpture	dimension	free
MAGNITUDE	measurable	depth	dimension	free
SIZE	miniature	camera	dimension	free
SIZE	minuscule	kitchen	dimension	free
SIZE	monolithic	proportion	dimension	free
SIZE	monumental	scale	dimension	free
WIDTH	narrow	bridge	dimension	free
WIDTH	narrow	line	dimension	free
DIRECTION_ORIENTATION	perpendicular	height	dimension	free
SIZE	petite	figure	dimension	free
LENGTH	short	hair	dimension	free
STATURE	short	smokestack	dimension	free
DIRECTION_ORIENTATION	skew	picture	dimension	free
SIZE	small	car	dimension	free
STATURE	squat	tower	dimension	free
STATURE	tall	building	dimension	free
STATURE	tall	people	dimension	free
STATURE	tall	ship	dimension	free
STATURE	tall	tree	dimension	free
WIDTH	thin	line	dimension	free
